	SRR10738313	SRR10738318	SRR10738253	SRR10738254
CTF1	5.27679277339107	7.89756831947566	71.6228162316331	152.210969288072
CTH	803.782330376193	526.108931906023	354.134510158657	242.232065180833
CTHRC1	169.457656176722	83.3991976878038	89.5056919173581	1006.37975746362
CTIF	332.440087201894	164.526764011409	1514.04034612245	655.795234390905
CTLA4	0	0	0	0
CTNNA1	11543.4512083288	6283.15950602793	10075.6464410809	8010.9909882618
CTNNA2	321.731937152328	140.705842059826	2378.92420228282	1820.44920082946
CTNNA3	101.607862066953	41.3778425057286	11.5834464564244	28.2890142308177
CTNNAL1	4026.77677700832	1886.69168477995	579.725648020012	1349.80932092365
CTNNB1	21990.5925325864	11087.6965957179	18410.8997640831	13324.6563384924
CTNNBIP1	1774.86794573218	1239.10660863892	2035.04409928754	870.398459966756
CTNNBL1	2039.44009334519	1226.68392896194	1371.16514905385	953.119629387222
CTNND1	2446.40786076184	2023.58731978691	1596.59964222977	1428.0579350369
CTNND2	256.681443918715	159.640742425483	2571.09223782803	974.597992056062
CTNS	605.238476838588	504.92148311042	557.057187082052	204.716253703565
CTPS1	3459.500872395	2946.63034570691	804.861457477641	363.101531814714
CTPS2	1435.29519862234	785.955150110887	843.511994197088	473.78020137564
CTR9	1243.79887427502	781.795719715367	1110.29133521004	607.525064430169
CTRB1	1.34696296258895	1.35209364182183	5.99263543142357	0
CTRB2	0	0	0	0
CTRC	41.5983141023426	21.7891822667827	68.7551521627731	24.5104058418422
CTRL	91.831383990602	74.5394655650032	68.0035430273059	16.5031740515246
CTSA	953.797040100072	812.998942532426	1106.32682042311	877.130058651152
CTSB	696.125246538345	386.733418780462	5377.06616024936	5066.30030425471
CTSC	17294.2786204777	11525.5713185014	1122.71744146401	3563.13874887854
CTSD	3962.52853257162	3449.71927431608	4203.11171400668	3036.15856358326
CTSE	0	0.540504352255101	1.88409163841255	1.18265738913036
CTSF	1280.08327388888	403.684851380803	2485.10571970671	1678.299583839
CTSG	0	0	0	0
CTSH	735.046512197284	354.255986664187	2164.87806309316	911.033583224052
CTSK	61.3079335120391	52.5885300241608	75.8235746333317	460.44168240481
CTSL	1686.58564255938	928.019606756044	4319.81947644693	7803.65357193064
CTSO	58.7842252981304	20.3620836600085	314.139464920279	314.43220910557
CTSS	10.4702037909665	25.3093343648586	34.2686532068741	60.2751380688436
CTSV	6092.42812423857	2669.74391409072	260.136284707633	641.82974864722
CTSW	0	0	3.5051688900758	1.41508100223481
CTSZ	1896.43159358808	837.810624459519	514.164740816313	2103.52999823312
CTTN	3715.0609257047	3278.55636346013	2527.11014980386	1474.2938025858
CTTNBP2	552.260061546997	386.041662413825	460.855197688721	143.732273787146
CTTNBP2NL	644.701046187615	362.970648965802	859.724831780283	597.862300441545
CTU1	70.2038530250073	96.5921673454591	155.169139062558	48.1062943803145
CTU2	889.061010205645	817.108548402865	663.113110912274	299.080930494382
CTXN1	745.976605504595	849.566022479915	1828.54401369105	783.10827881248
CTXN2	0	0	71.5847439135512	29.5856570265366
CTXN3	0	0	5.300350026301	18.8198843235371
CTXND1	0.401605362961096	0.213610301013963	32.2109457905416	5.88258771235052
CTXND2	0	0	0	0
CUBN	2.1403357781501	0.714000970469957	59.5988347574029	38.2125178771542
CUEDC1	213.955180600443	432.636908998356	1426.190537215	820.070437926962
